Section,Key,Value
Ordering and Spec Information,,
Intel® FH82Q670E Platform Controller Hub,Ordering Code,FH82Q670E
Intel® FH82Q670E Platform Controller Hub,Spec Code,SRL2R
Intel® FH82Q670E Platform Controller Hub,Shipping Media,T&R
Intel® FH82Q670E Platform Controller Hub,Stepping,B1
Intel® FH82Q670E Platform Controller Hub,MDDS Content IDs,724822
Intel® FH82Q670E Platform Controller Hub,PCN Content IDs,806826
Intel® FH82Q670E Platform Controller Hub,Recommended Customer Price,$55.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G158870
Trade Compliance Information,US HTS,8542310030
