Section,Key,Value
Retired and discontinued,,
"Intel® Pentium® Processor G3260T (3M Cache, 2.90 GHz) FC-LGA12C, Tray",Ordering Code,CM8064601483744
"Intel® Pentium® Processor G3260T (3M Cache, 2.90 GHz) FC-LGA12C, Tray",Spec Code,SR1KW
"Intel® Pentium® Processor G3260T (3M Cache, 2.90 GHz) FC-LGA12C, Tray",Shipping Media,TRAY
"Intel® Pentium® Processor G3260T (3M Cache, 2.90 GHz) FC-LGA12C, Tray",Stepping,C0
"Intel® Pentium® Processor G3260T (3M Cache, 2.90 GHz) FC-LGA12C, Tray",MDDS Content IDs,706950
"Intel® Pentium® Processor G3260T (3M Cache, 2.90 GHz) FC-LGA12C, Tray",PCN Content IDs,"799686,799685,802525,802395,809999,813819"
Trade Compliance Information,ECCN,3A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310050
