Section,Key,Value
Retired and discontinued,,
"Intel® Celeron® Processor N3150 (2M Cache, up to 2.08 GHz) FC-BGA15F, Tray",Ordering Code,FH8066501715924
"Intel® Celeron® Processor N3150 (2M Cache, up to 2.08 GHz) FC-BGA15F, Tray",Spec Code,SR2A8
"Intel® Celeron® Processor N3150 (2M Cache, up to 2.08 GHz) FC-BGA15F, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor N3150 (2M Cache, up to 2.08 GHz) FC-BGA15F, Tray",Stepping,C0
"Intel® Celeron® Processor N3150 (2M Cache, up to 2.08 GHz) FC-BGA15F, Tray",MDDS Content IDs,706796
"Intel® Celeron® Processor N3150 (2M Cache, up to 2.08 GHz) FC-BGA15F, Tray",PCN Content IDs,"799624,804340,805104,809507,811261"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G143235
Trade Compliance Information,US HTS,8542310050
