Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i3-7101TE Processor (3M Cache, 3.40 GHz) FC-LGA14C, Tray",Ordering Code,CM8067702867061
"Intel® Core™ i3-7101TE Processor (3M Cache, 3.40 GHz) FC-LGA14C, Tray",Spec Code,SR374
"Intel® Core™ i3-7101TE Processor (3M Cache, 3.40 GHz) FC-LGA14C, Tray",Shipping Media,TRAY
"Intel® Core™ i3-7101TE Processor (3M Cache, 3.40 GHz) FC-LGA14C, Tray",Stepping,B0
"Intel® Core™ i3-7101TE Processor (3M Cache, 3.40 GHz) FC-LGA14C, Tray",MDDS Content IDs,708994
"Intel® Core™ i3-7101TE Processor (3M Cache, 3.40 GHz) FC-LGA14C, Tray",PCN Content IDs,"799624,799685,813833,809472,813820,846571"
"Intel® Core™ i3-7101TE Processor (3M Cache, 3.40 GHz) FC-LGA14C, Tray",Recommended Customer Price,$117.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
