Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-1195G7 Processor (12M Cache, up to 5.00 GHz, with IPU) FC-BGA16F, Tray",Ordering Code,FH8069004673301
"Intel® Core™ i7-1195G7 Processor (12M Cache, up to 5.00 GHz, with IPU) FC-BGA16F, Tray",Spec Code,SRKSB
"Intel® Core™ i7-1195G7 Processor (12M Cache, up to 5.00 GHz, with IPU) FC-BGA16F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-1195G7 Processor (12M Cache, up to 5.00 GHz, with IPU) FC-BGA16F, Tray",Stepping,C0
"Intel® Core™ i7-1195G7 Processor (12M Cache, up to 5.00 GHz, with IPU) FC-BGA16F, Tray",MDDS Content IDs,708002
"Intel® Core™ i7-1195G7 Processor (12M Cache, up to 5.00 GHz, with IPU) FC-BGA16F, Tray",PCN Content IDs,"798466,808993"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
