Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® D-2712T Processor (15M Cache, up to 3.00 GHz) FC-BGA16B, Tray",Ordering Code,FH8068604676144
"Intel® Xeon® D-2712T Processor (15M Cache, up to 3.00 GHz) FC-BGA16B, Tray",Spec Code,SRLCK
"Intel® Xeon® D-2712T Processor (15M Cache, up to 3.00 GHz) FC-BGA16B, Tray",Shipping Media,TRAY
"Intel® Xeon® D-2712T Processor (15M Cache, up to 3.00 GHz) FC-BGA16B, Tray",Stepping,U1
"Intel® Xeon® D-2712T Processor (15M Cache, up to 3.00 GHz) FC-BGA16B, Tray",MDDS Content IDs,"764840,854160"
"Intel® Xeon® D-2712T Processor (15M Cache, up to 3.00 GHz) FC-BGA16B, Tray",PCN Content IDs,"798714,804045"
"Intel® Xeon® D-2712T Processor (15M Cache, up to 3.00 GHz) FC-BGA16B, Tray",Recommended Customer Price,$349.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G188783
Trade Compliance Information,US HTS,8542310050
