Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 6338 Processor (48M Cache, 2.00 GHz) FC-LGA16A, Tray",Ordering Code,CD8068904572501
"Intel® Xeon® Gold 6338 Processor (48M Cache, 2.00 GHz) FC-LGA16A, Tray",Spec Code,SRKJ9
"Intel® Xeon® Gold 6338 Processor (48M Cache, 2.00 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 6338 Processor (48M Cache, 2.00 GHz) FC-LGA16A, Tray",Stepping,D2
"Intel® Xeon® Gold 6338 Processor (48M Cache, 2.00 GHz) FC-LGA16A, Tray",MDDS Content IDs,706859
"Intel® Xeon® Gold 6338 Processor (48M Cache, 2.00 GHz) FC-LGA16A, Tray",PCN Content IDs,"796468,798714,842179"
"Intel® Xeon® Gold 6338 Processor (48M Cache, 2.00 GHz) FC-LGA16A, Tray",Recommended Customer Price,$2990.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G178966
Trade Compliance Information,US HTS,8542310050
