Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Platinum 8460H Processor (105M Cache, 2.20 GHz) FC-LGA16A, Tray",Ordering Code,PK8071305075001
"Intel® Xeon® Platinum 8460H Processor (105M Cache, 2.20 GHz) FC-LGA16A, Tray",Spec Code,SRM7K
"Intel® Xeon® Platinum 8460H Processor (105M Cache, 2.20 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® Platinum 8460H Processor (105M Cache, 2.20 GHz) FC-LGA16A, Tray",Stepping,E5
"Intel® Xeon® Platinum 8460H Processor (105M Cache, 2.20 GHz) FC-LGA16A, Tray",MDDS Content IDs,765472
"Intel® Xeon® Platinum 8460H Processor (105M Cache, 2.20 GHz) FC-LGA16A, Tray",PCN Content IDs,"842096,798714,833725"
"Intel® Xeon® Platinum 8460H Processor (105M Cache, 2.20 GHz) FC-LGA16A, Tray",Recommended Customer Price,$10710.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G180729
Trade Compliance Information,US HTS,8542310050
