Section,Key,Value
Retired and discontinued,,
"Intel Atom® x3-C3295RK Processor (1M Cache, up to 1.1 GHz) PG-VF2BGA-361, T&R",Ordering Code,PMB8018T.P20
"Intel Atom® x3-C3295RK Processor (1M Cache, up to 1.1 GHz) PG-VF2BGA-361, T&R",Spec Code,SLLUK
"Intel Atom® x3-C3295RK Processor (1M Cache, up to 1.1 GHz) PG-VF2BGA-361, T&R",Shipping Media,T&R
"Intel Atom® x3-C3295RK Processor (1M Cache, up to 1.1 GHz) PG-VF2BGA-361, T&R",Stepping,A1
"Intel Atom® x3-C3295RK Processor (1M Cache, up to 1.1 GHz) PG-VF2BGA-361, T&R",MDDS Content IDs,706234
"Intel Atom® x3-C3295RK Processor (1M Cache, up to 1.1 GHz) PG-VF2BGA-361, T&R",PCN Content IDs,"811135,811498"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G152457
Trade Compliance Information,US HTS,8542310050
