Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, Tray",Ordering Code,CM8071504820506
"Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, Tray",Spec Code,SRN7R
"Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, Tray",Stepping,B0
"Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, Tray",Recommended Customer Price,$689.00
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A",Ordering Code,BX8071514900KS
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A",Spec Code,SRN7R
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A",Shipping Media,BOX
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A",Stepping,B0
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A",MDDS Content IDs,"822389,850260"
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A",PCN Content IDs,"818310,853587"
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A",Recommended Customer Price,$699.00
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, for China",Ordering Code,BXC8071514900KS
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, for China",Spec Code,SRN7R
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, for China",Shipping Media,BOX
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, for China",Stepping,B0
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, for China",MDDS Content IDs,"822389,850260"
"Boxed Intel® Core™ i9 processor 14900KS (36M Cache, up to 6.20 GHz) FC-LGA16A, for China",PCN Content IDs,"818310,848503,853587"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8542310050
