Section,Key,Value
Ordering and Spec Information,,
"Intel Atom® Processor C3808 (12M Cache, up to 2.0 GHz) FC-BGA15C, Tray",Ordering Code,HW8076502639702
"Intel Atom® Processor C3808 (12M Cache, up to 2.0 GHz) FC-BGA15C, Tray",Spec Code,SR38C
"Intel Atom® Processor C3808 (12M Cache, up to 2.0 GHz) FC-BGA15C, Tray",Shipping Media,TRAY
"Intel Atom® Processor C3808 (12M Cache, up to 2.0 GHz) FC-BGA15C, Tray",Stepping,B1
"Intel Atom® Processor C3808 (12M Cache, up to 2.0 GHz) FC-BGA15C, Tray",MDDS Content IDs,706442
"Intel Atom® Processor C3808 (12M Cache, up to 2.0 GHz) FC-BGA15C, Tray",PCN Content IDs,"813833,795943,799685,809472,812098"
"Intel Atom® Processor C3808 (12M Cache, up to 2.0 GHz) FC-BGA15C, Tray",Recommended Customer Price,$395.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G186216L1
Trade Compliance Information,US HTS,8542310050
