Section,Key,Value
Essentials,Product Collection,Intel Atom® Processor X Series
Essentials,Code Name,Products formerly SoFIA LTE
Essentials,Vertical Segment,Mobile
Essentials,Processor Number,x3-C3405
Essentials,Lithography,28 nm
CPU Specifications,Total Cores,4
CPU Specifications,Burst Frequency,1.40 GHz
CPU Specifications,Processor Base Frequency,1.20 GHz
CPU Specifications,Cache,1 MB
CPU Specifications,Scenario Design Power (SDP),2 W
Supplemental Information,Marketing Status,Announced
Supplemental Information,Launch Date,Q1'15
Supplemental Information,Embedded Options Available,No
Memory Specifications,Max Memory Size (dependent on memory type),2 GB
Memory Specifications,Memory Types,1x32 LPDDR2/3 1066
Memory Specifications,Max # of Memory Channels,1
Memory Specifications,Max Memory Bandwidth,4.2 GB/s
GPU Specifications,Graphics Base Frequency,456 MHz
GPU Specifications,Graphics Output,MIPI DSI
GPU Specifications,Max Resolution (eDP - Integrated Flat Panel)‡,1280x800
GPU Specifications,DirectX* Support,9.3
GPU Specifications,OpenGL* Support,ES 3.0
GPU Specifications,# of Displays Supported‡,1
I/O Specifications,# of USB Ports,1
I/O Specifications,USB Revision,2.0 OTG
I/O Specifications,General Purpose IO,5 x I2C
I/O Specifications,UART,7 x USIF configurable
Networking Specifications,Baseband Functions,n/a - WiFi only
Networking Specifications,RF Transceiver,SMARTi™ 4.5s
Networking Specifications,RF Transceiver Functions,clock
Networking Specifications,Protocol Stack,n/a - WiFi only
Package Specifications,Max Operating Temperature,85 °C
Package Specifications,Minimum Operating Temperature,-25 °C
Package Specifications,Package Size,12mm x 12mm
Advanced Technologies,Secure Boot,Yes
Advanced Technologies,Instruction Set,64-bit
