Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 6248R Processor (35.75M Cache, 3.00 GHz) FC-LGA14B, Tray",Ordering Code,CD8069504449401
"Intel® Xeon® Gold 6248R Processor (35.75M Cache, 3.00 GHz) FC-LGA14B, Tray",Spec Code,SRGZG
"Intel® Xeon® Gold 6248R Processor (35.75M Cache, 3.00 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 6248R Processor (35.75M Cache, 3.00 GHz) FC-LGA14B, Tray",Stepping,B1
"Intel® Xeon® Gold 6248R Processor (35.75M Cache, 3.00 GHz) FC-LGA14B, Tray",MDDS Content IDs,708282
"Intel® Xeon® Gold 6248R Processor (35.75M Cache, 3.00 GHz) FC-LGA14B, Tray",PCN Content IDs,"798714,802960,800106,809472,810308,815070"
"Intel® Xeon® Gold 6248R Processor (35.75M Cache, 3.00 GHz) FC-LGA14B, Tray",Recommended Customer Price,$3178.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
