Section,Key,Value
Essentials,Product Collection,11th Generation Intel® Core™ i3 Processors
Essentials,Code Name,Products formerly Tiger Lake
Essentials,Vertical Segment,Embedded
Essentials,Processor Number,i3-1115GRE
Essentials,Lithography,10 nm SuperFin
Essentials,Recommended Customer Price,$338.00
CPU Specifications,Total Cores,2
CPU Specifications,Total Threads,4
CPU Specifications,Max Turbo Frequency,3.90 GHz
CPU Specifications,Processor Base Frequency,2.20 GHz
CPU Specifications,Cache,6 MB Intel® Smart Cache
CPU Specifications,Bus Speed,4 GT/s
CPU Specifications,TDP,15 W
CPU Specifications,Configurable TDP-up Base Frequency,3.00 GHz
CPU Specifications,Configurable TDP-up,28 W
CPU Specifications,Configurable TDP-down Base Frequency,1.70 GHz
CPU Specifications,Configurable TDP-down,12 W
CPU Specifications,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Supplemental Information,Marketing Status,Launched
Supplemental Information,Launch Date,Q3'20
Supplemental Information,Embedded Options Available,Yes
Supplemental Information,Use Conditions,"Industrial Extended Temp, Embedded Broad Market Extended Temp"
Memory Specifications,Max Memory Size (dependent on memory type),64 GB
Memory Specifications,Memory Types,"DDR4-3200, LPDDR4x-3733, In -Band ECC"
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,ECC Memory Supported‡,Yes
GPU Specifications,GPU Name‡,Intel® UHD Graphics for 11th Gen Intel® Processors
GPU Specifications,Graphics Max Dynamic Frequency,1.25 GHz
GPU Specifications,Graphics Output,"eDP 1.4b, MIPI-DSI 2.0, DP 1.4, HDMI 2.0b"
GPU Specifications,Execution Units,48
GPU Specifications,Max Resolution (HDMI)‡,4096x2304@60Hz
GPU Specifications,Max Resolution (DP)‡,7680x4320@60Hz
GPU Specifications,Max Resolution (eDP - Integrated Flat Panel)‡,4096x2304@60Hz
GPU Specifications,DirectX* Support,12.1
GPU Specifications,OpenGL* Support,4.6
GPU Specifications,OpenCL* Support,2.0
GPU Specifications,Intel® Quick Sync Video,Yes
GPU Specifications,Intel® Clear Video HD Technology,Yes
GPU Specifications,# of Displays Supported‡,4
GPU Specifications,Device ID,0x9A78
Expansion Options,Intel® Thunderbolt™ 4,Yes
Expansion Options,Microprocessor PCIe Revision,Gen 4
Expansion Options,Chipset / PCH PCIe Revision,Gen 3
Package Specifications,Sockets Supported,FCBGA1449
Package Specifications,Max CPU Configuration,1
Package Specifications,TJUNCTION,100C
Package Specifications,Max Operating Temperature,100 °C
Package Specifications,Minimum Operating Temperature,-40 °C
Package Specifications,Package Size,45.5mm x 25mm
Advanced Technologies,Intel® Time Coordinated Computing (Intel® TCC)‡,Yes
Advanced Technologies,Intel® Gaussian & Neural Accelerator,2.0
Advanced Technologies,Intel® Smart Sound Technology,Yes
Advanced Technologies,Intel® High Definition Audio,Yes
Advanced Technologies,MIPI SoundWire*,1.1
Advanced Technologies,Intel® Speed Shift Technology,Yes
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512"
Advanced Technologies,Idle States,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Advanced Technologies,Intel® Volume Management Device (VMD),Yes
Security & Reliability,Intel® Control-Flow Enforcement Technology,Yes
Security & Reliability,Intel® Total Memory Encryption,No
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Software Guard Extensions (Intel® SGX),No
Security & Reliability,Intel® Trusted Execution Technology‡,No
Security & Reliability,Intel® OS Guard,Yes
Security & Reliability,Intel® Boot Guard,Yes
Security & Reliability,Mode-based Execute Control (MBEC),Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
