Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® w3-2423 Processor (15M Cache, 2.10 GHz) FC-LGA16A, Tray",Ordering Code,PK8071305129200
"Intel® Xeon® w3-2423 Processor (15M Cache, 2.10 GHz) FC-LGA16A, Tray",Spec Code,SRM9L
"Intel® Xeon® w3-2423 Processor (15M Cache, 2.10 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® w3-2423 Processor (15M Cache, 2.10 GHz) FC-LGA16A, Tray",Stepping,S3
"Intel® Xeon® w3-2423 Processor (15M Cache, 2.10 GHz) FC-LGA16A, Tray",MDDS Content IDs,798714
"Intel® Xeon® w3-2423 Processor (15M Cache, 2.10 GHz) FC-LGA16A, Tray",PCN Content IDs,798714
"Intel® Xeon® w3-2423 Processor (15M Cache, 2.10 GHz) FC-LGA16A, Tray",Recommended Customer Price,$359.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G180729
Trade Compliance Information,US HTS,8542310050
