Section,Key,Value
Ordering and Spec Information,,
"Intel® Celeron® Processor G6900TE (4M Cache, 2.40 GHz) FC-LGA16A, Tray",Ordering Code,CM8071504653706
"Intel® Celeron® Processor G6900TE (4M Cache, 2.40 GHz) FC-LGA16A, Tray",Spec Code,SRL6P
"Intel® Celeron® Processor G6900TE (4M Cache, 2.40 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Celeron® Processor G6900TE (4M Cache, 2.40 GHz) FC-LGA16A, Tray",Stepping,H0
"Intel® Celeron® Processor G6900TE (4M Cache, 2.40 GHz) FC-LGA16A, Tray",MDDS Content IDs,721121
"Intel® Celeron® Processor G6900TE (4M Cache, 2.40 GHz) FC-LGA16A, Tray",PCN Content IDs,"800746,798714,805837,811981"
"Intel® Celeron® Processor G6900TE (4M Cache, 2.40 GHz) FC-LGA16A, Tray",Recommended Customer Price,$53.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
