Section,Key,Value
Ordering and Spec Information,,
Intel® FH82W790 Platform Controller Hub,Ordering Code,FH82W790
Intel® FH82W790 Platform Controller Hub,Spec Code,SRL7G
Intel® FH82W790 Platform Controller Hub,Shipping Media,T&R
Intel® FH82W790 Platform Controller Hub,Stepping,B1
Intel® FH82W790 Platform Controller Hub,MDDS Content IDs,"772921,829546"
Intel® FH82W790 Platform Controller Hub,PCN Content IDs,806826
Intel® FH82W790 Platform Controller Hub,Recommended Customer Price,$72.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G158870
Trade Compliance Information,US HTS,8542310030
