Section,Key,Value
Essentials,Product Collection,3rd Gen Intel® Xeon® Scalable Processors
Essentials,Code Name,Products formerly Ice Lake
Essentials,Vertical Segment,Server
Essentials,Processor Number,8352S
Essentials,Lithography,10 nm
Essentials,Recommended Customer Price,$4632.00
CPU Specifications,Total Cores,32
CPU Specifications,Total Threads,64
CPU Specifications,Max Turbo Frequency,3.40 GHz
CPU Specifications,Intel SpeedStep® Max Frequency,3.40 GHz
CPU Specifications,Processor Base Frequency,2.20 GHz
CPU Specifications,Cache,48 MB
CPU Specifications,Intel® UPI Speed,11.2 GT/s
CPU Specifications,Max # of UPI Links,3
CPU Specifications,TDP,205 W
Supplemental Information,Marketing Status,Launched
Supplemental Information,Launch Date,Q2'21
Supplemental Information,Servicing Status,Baseline Servicing
Supplemental Information,Embedded Options Available,No
Memory Specifications,Max Memory Size (dependent on memory type),6 TB
Memory Specifications,Memory Types,DDR4-3200
Memory Specifications,Maximum Memory Speed,3200 MHz
Memory Specifications,Max # of Memory Channels,8
Memory Specifications,Intel® Optane™ Persistent Memory Supported,Yes
Memory Specifications,ECC Memory Supported‡,Yes
Expansion Options,Scalability,2S
Expansion Options,PCI Express Revision,4.0
Expansion Options,Max # of PCI Express Lanes,64
Package Specifications,Sockets Supported,FCLGA4189
Package Specifications,TCASE,81°C
Package Specifications,Package Size,77.5mm x 56.5mm
Advanced Technologies,Intel® Speed Select Technology – Core Power,Yes
Advanced Technologies,Intel® Speed Select Technology – Turbo Frequency,Yes
Advanced Technologies,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Advanced Technologies,Intel® Speed Select Technology - Performance Profile,Yes
Advanced Technologies,Intel® Speed Select Technology - Base Frequency,Yes
Advanced Technologies,High Priority Cores,12
Advanced Technologies,High Priority Core Frequency,2.40 GHz
Advanced Technologies,Low Priority Cores,20
Advanced Technologies,Low Priority Core Frequency,2.00 GHz
Advanced Technologies,Intel® Resource Director Technology (Intel® RDT),Yes
Advanced Technologies,Intel® Speed Shift Technology,Yes
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® Transactional Synchronization Extensions,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512"
Advanced Technologies,# of AVX-512 FMA Units,2
Advanced Technologies,Intel® Volume Management Device (VMD),Yes
Security & Reliability,Intel® Crypto Acceleration,Yes
Security & Reliability,Intel® Platform Firmware Resilience Support,Yes
Security & Reliability,Intel® Total Memory Encryption,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® SPS
Security & Reliability,Default Maximum Enclave Page Cache (EPC) Size for Intel® SGX,512 GB
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Run Sure Technology,Yes
Security & Reliability,Mode-based Execute Control (MBEC),Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
