Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-4712MQ Processor (6M Cache, up to 3.30 GHz) FC-PGA12F, Tray",Ordering Code,CW8064701473804
"Intel® Core™ i7-4712MQ Processor (6M Cache, up to 3.30 GHz) FC-PGA12F, Tray",Spec Code,SR1PS
"Intel® Core™ i7-4712MQ Processor (6M Cache, up to 3.30 GHz) FC-PGA12F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-4712MQ Processor (6M Cache, up to 3.30 GHz) FC-PGA12F, Tray",Stepping,C0
"Intel® Core™ i7-4712MQ Processor (6M Cache, up to 3.30 GHz) FC-PGA12F, Tray",MDDS Content IDs,706984
"Intel® Core™ i7-4712MQ Processor (6M Cache, up to 3.30 GHz) FC-PGA12F, Tray",PCN Content IDs,"799686,799685,802395,809238,802705,813819,805104,809375"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
