Section,Key,Value
Ordering and Spec Information,,
"Intel Atom® x6212RE Processor (1.5M Cache, 1.20 GHz) FC-BGA16C, Tray",Ordering Code,FH8070304289568
"Intel Atom® x6212RE Processor (1.5M Cache, 1.20 GHz) FC-BGA16C, Tray",Spec Code,SRKLE
"Intel Atom® x6212RE Processor (1.5M Cache, 1.20 GHz) FC-BGA16C, Tray",Shipping Media,TRAY
"Intel Atom® x6212RE Processor (1.5M Cache, 1.20 GHz) FC-BGA16C, Tray",Stepping,B1
"Intel Atom® x6212RE Processor (1.5M Cache, 1.20 GHz) FC-BGA16C, Tray",MDDS Content IDs,707572
"Intel Atom® x6212RE Processor (1.5M Cache, 1.20 GHz) FC-BGA16C, Tray",Recommended Customer Price,$45.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G179048
Trade Compliance Information,US HTS,8542310050
