Section,Key,Value
Retired and discontinued,,
"Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Ordering Code,FH8067703417418
"Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Spec Code,SRCXS
"Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",Stepping,B0
"Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",MDDS Content IDs,709080
"Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics (8M Cache, up to 4.10 GHz) FC-BGA14F, Tray",PCN Content IDs,"795943,803679"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
