Section,Key,Value
Retired and discontinued,,
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tape & Reel",Ordering Code,DG8065101274708
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tape & Reel",Spec Code,SR145
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tape & Reel",Shipping Media,T&R
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tape & Reel",Stepping,B1
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tape & Reel",MDDS Content IDs,708554
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tape & Reel",PCN Content IDs,"799537,803212,804340,804460,809225,813824"
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tray",Ordering Code,DG8065101274708
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tray",Spec Code,SR1ZG
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tray",Shipping Media,TRAY
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tray",Stepping,B1
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tray",MDDS Content IDs,708554
"Intel Atom® Processor Z2560 (1M Cache, 1.60 GHz) FC-MB4, Tray",PCN Content IDs,"799537,802395,804340,813819"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G078451
Trade Compliance Information,US HTS,8542310050
