Section,Key,Value
Ordering and Spec Information,,
"Intel® Core™ i5-7440EQ Processor (6M Cache, up to 3.60 GHz) FC-BGA14F, Tray",Ordering Code,CL8067702998810
"Intel® Core™ i5-7440EQ Processor (6M Cache, up to 3.60 GHz) FC-BGA14F, Tray",Spec Code,SR34T
"Intel® Core™ i5-7440EQ Processor (6M Cache, up to 3.60 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Core™ i5-7440EQ Processor (6M Cache, up to 3.60 GHz) FC-BGA14F, Tray",Stepping,B0
"Intel® Core™ i5-7440EQ Processor (6M Cache, up to 3.60 GHz) FC-BGA14F, Tray",MDDS Content IDs,706643
"Intel® Core™ i5-7440EQ Processor (6M Cache, up to 3.60 GHz) FC-BGA14F, Tray",PCN Content IDs,"795943,799624,799685,813833,809472"
"Intel® Core™ i5-7440EQ Processor (6M Cache, up to 3.60 GHz) FC-BGA14F, Tray",Recommended Customer Price,$250.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
