Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 5120T Processor (19.25M Cache, 2.20 GHz) FC-LGA14B, Tray",Ordering Code,CD8067303535700
"Intel® Xeon® Gold 5120T Processor (19.25M Cache, 2.20 GHz) FC-LGA14B, Tray",Spec Code,SR3GC
"Intel® Xeon® Gold 5120T Processor (19.25M Cache, 2.20 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 5120T Processor (19.25M Cache, 2.20 GHz) FC-LGA14B, Tray",Stepping,M0
"Intel® Xeon® Gold 5120T Processor (19.25M Cache, 2.20 GHz) FC-LGA14B, Tray",MDDS Content IDs,707504
"Intel® Xeon® Gold 5120T Processor (19.25M Cache, 2.20 GHz) FC-LGA14B, Tray",PCN Content IDs,"798714,799685,800106,810192,813833,812098,847599"
"Intel® Xeon® Gold 5120T Processor (19.25M Cache, 2.20 GHz) FC-LGA14B, Tray",Recommended Customer Price,$1727.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
