Section,Key,Value
Retired and discontinued,,
"Intel® Pentium® Processor G3250T (3M Cache, 2.80 GHz) FC-LGA12C, Tray",Ordering Code,CM8064601483718
"Intel® Pentium® Processor G3250T (3M Cache, 2.80 GHz) FC-LGA12C, Tray",Spec Code,SR1KV
"Intel® Pentium® Processor G3250T (3M Cache, 2.80 GHz) FC-LGA12C, Tray",Shipping Media,TRAY
"Intel® Pentium® Processor G3250T (3M Cache, 2.80 GHz) FC-LGA12C, Tray",Stepping,C0
"Intel® Pentium® Processor G3250T (3M Cache, 2.80 GHz) FC-LGA12C, Tray",MDDS Content IDs,706950
"Intel® Pentium® Processor G3250T (3M Cache, 2.80 GHz) FC-LGA12C, Tray",PCN Content IDs,"799686,799685,805449,802395,802525,804057,807594,813819"
Trade Compliance Information,ECCN,3A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310050
