Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® D-2766NT Processor (20M Cache, up to 3.10 GHz) FC-BGA16B, Tray",Ordering Code,FH8068604676168
"Intel® Xeon® D-2766NT Processor (20M Cache, up to 3.10 GHz) FC-BGA16B, Tray",Spec Code,SRLCS
"Intel® Xeon® D-2766NT Processor (20M Cache, up to 3.10 GHz) FC-BGA16B, Tray",Shipping Media,TRAY
"Intel® Xeon® D-2766NT Processor (20M Cache, up to 3.10 GHz) FC-BGA16B, Tray",Stepping,U1
"Intel® Xeon® D-2766NT Processor (20M Cache, up to 3.10 GHz) FC-BGA16B, Tray",MDDS Content IDs,"764840,854160"
"Intel® Xeon® D-2766NT Processor (20M Cache, up to 3.10 GHz) FC-BGA16B, Tray",PCN Content IDs,"798714,804045"
"Intel® Xeon® D-2766NT Processor (20M Cache, up to 3.10 GHz) FC-BGA16B, Tray",Recommended Customer Price,$1224.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G188783
Trade Compliance Information,US HTS,8542310050
