Section,Key,Value
Essentials,Product Collection,Intel Atom® Processor Z Series
Essentials,Code Name,Products formerly Bay Trail
Essentials,Vertical Segment,Mobile
Essentials,Processor Number,Z3795
Essentials,Lithography,22 nm
CPU Specifications,Total Cores,4
CPU Specifications,Burst Frequency,2.39 GHz
CPU Specifications,Processor Base Frequency,1.59 GHz
CPU Specifications,Cache,2 MB L2 Cache
CPU Specifications,Scenario Design Power (SDP),2 W
Supplemental Information,Marketing Status,Discontinued
Supplemental Information,Launch Date,Q1'14
Supplemental Information,Servicing Status,End of Servicing Lifetime
Supplemental Information,Embedded Options Available,No
Memory Specifications,Max Memory Size (dependent on memory type),4 GB
Memory Specifications,Memory Types,LPDDR3 1066
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,Max Memory Bandwidth,17.1 GB/s
GPU Specifications,GPU Name‡,Intel® HD Graphics for Intel Atom® Processor Z3700 Series
GPU Specifications,Graphics Base Frequency,311 MHz
GPU Specifications,Graphics Burst Frequency,778 MHz
Package Specifications,Sockets Supported,UTFCBGA1380
Package Specifications,Package Size,17mm x 17mm
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
