Section,Key,Value
Essentials,Product Collection,Intel® Xeon® Processor E5 Family
Essentials,Code Name,Products formerly Sandy Bridge EP
Essentials,Vertical Segment,Server
Essentials,Processor Number,E5-1650
Essentials,Lithography,32 nm
Essentials,Recommended Customer Price,$583.00
CPU Specifications,Total Cores,6
CPU Specifications,Total Threads,12
CPU Specifications,Max Turbo Frequency,3.80 GHz
CPU Specifications,Intel® Turbo Boost Technology 2.0 Frequency‡,3.80 GHz
CPU Specifications,Processor Base Frequency,3.20 GHz
CPU Specifications,Cache,12 MB Intel® Smart Cache
CPU Specifications,Bus Speed,0
CPU Specifications,# of QPI Links,0
CPU Specifications,TDP,130 W
Supplemental Information,Marketing Status,Discontinued
Supplemental Information,Launch Date,Q1'12
Supplemental Information,Expected Discontinuance,Q2'15
Supplemental Information,Servicing Status,End of Servicing Lifetime
Supplemental Information,End of Servicing Updates Date,"Tuesday, June 30, 2020"
Supplemental Information,Embedded Options Available,No
Memory Specifications,Max Memory Size (dependent on memory type),256 GB
Memory Specifications,Memory Types,DDR3 800/1066/1333/1600
Memory Specifications,Max # of Memory Channels,4
Memory Specifications,Max Memory Bandwidth,51.2 GB/s
Memory Specifications,ECC Memory Supported‡,Yes
Expansion Options,PCI Express Revision,3.0
Expansion Options,Max # of PCI Express Lanes,40
Package Specifications,Sockets Supported,FCLGA2011
Package Specifications,Max CPU Configuration,1
Package Specifications,TCASE,64.0°C
Package Specifications,Package Size,52.5mm x 45.0 mm
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Instruction Set Extensions,Intel® AVX
Advanced Technologies,Idle States,Yes
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Intel® Demand Based Switching,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Advanced Technologies,Intel® Flex Memory Access,No
Advanced Technologies,Intel® Identity Protection Technology‡,No
Security & Reliability,Intel vPro® Eligibility‡,Intel vPro® Platform
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
