Section,Key,Value
Ordering and Spec Information,,
"Intel Atom® x6427FE Processor (1.5M Cache, 1.90 GHz) FC-BGA16C, Tray",Ordering Code,FH8070304289690
"Intel Atom® x6427FE Processor (1.5M Cache, 1.90 GHz) FC-BGA16C, Tray",Spec Code,SRKLH
"Intel Atom® x6427FE Processor (1.5M Cache, 1.90 GHz) FC-BGA16C, Tray",Shipping Media,TRAY
"Intel Atom® x6427FE Processor (1.5M Cache, 1.90 GHz) FC-BGA16C, Tray",Stepping,B1
"Intel Atom® x6427FE Processor (1.5M Cache, 1.90 GHz) FC-BGA16C, Tray",MDDS Content IDs,707572
"Intel Atom® x6427FE Processor (1.5M Cache, 1.90 GHz) FC-BGA16C, Tray",Recommended Customer Price,$83.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G179048
Trade Compliance Information,US HTS,8542310050
