Section,Key,Value
Retired and discontinued,,
"Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, Tray",Ordering Code,CM8064601482573
"Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, Tray",Spec Code,SR1V0
"Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, Tray",Shipping Media,TRAY
"Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, Tray",Stepping,C0
"Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, Tray",MDDS Content IDs,706950
"Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, Tray",PCN Content IDs,"799685,802395,799686,802525,807594,804057,809999"
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C",Ordering Code,BX80646G3258
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C",Spec Code,SR1V0
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C",Shipping Media,BOX
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C",Stepping,C0
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C",MDDS Content IDs,724749
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C",PCN Content IDs,"798816,797809,805773,808891,806717,809439,809999"
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, for China",Ordering Code,BXC80646G3258
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, for China",Spec Code,SR1V0
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, for China",Shipping Media,BOX
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, for China",Stepping,C0
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, for China",MDDS Content IDs,724749
"Boxed Intel® Pentium® Processor G3258 (3M Cache, 3.20 GHz) FC-LGA12C, for China",PCN Content IDs,"806717,797809,808891,802804,809439,809999"
Trade Compliance Information,ECCN,3A991
Trade Compliance Information,CCATS,NA
Trade Compliance Information,US HTS,8542310050
