Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Processor D-1559 (18M Cache, 1.50 GHz) FC-BGA14C, Tray",Ordering Code,GG8067402570801
"Intel® Xeon® Processor D-1559 (18M Cache, 1.50 GHz) FC-BGA14C, Tray",Spec Code,SR2M5
"Intel® Xeon® Processor D-1559 (18M Cache, 1.50 GHz) FC-BGA14C, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor D-1559 (18M Cache, 1.50 GHz) FC-BGA14C, Tray",Stepping,Y0
"Intel® Xeon® Processor D-1559 (18M Cache, 1.50 GHz) FC-BGA14C, Tray",MDDS Content IDs,709133
"Intel® Xeon® Processor D-1559 (18M Cache, 1.50 GHz) FC-BGA14C, Tray",PCN Content IDs,"813820,795943,799624,799685,809472,813833"
"Intel® Xeon® Processor D-1559 (18M Cache, 1.50 GHz) FC-BGA14C, Tray",Recommended Customer Price,$831.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G071701++
Trade Compliance Information,US HTS,8542310050
